"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
admdate,admission_details,,text,"Date of admission to [event-label]",,DD-MM-YYYY,date_dmy,,,,[admdate_unknown]='TRUE',y,,,,," @HIDEBUTTON"
admtime_unknown,admission_details,,radio,"Is the time of admission to [event-label] known?","TRUE, Known | FALSE, Unknown",,,,,,,,,,,,
admtime,admission_details,,text,"Time of admission to [event-label]",,,time,,,,[admtime_unknown]='TRUE',y,,,,," @HIDEBUTTON"
describe_header,sociodemographic_information,,descriptive,"<p>These data can be completed in any order, at any time during admission. <br />Please do not leave any data fields blank.</p>",,,,,,,,,,,,,
data_entry_id_describe,sociodemographic_information,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
age,sociodemographic_information,"Sociodemographic characteristics",text,Age,,"Please enter age in years",integer,0,150,,,,,,,,
age_warning,sociodemographic_information,,descriptive,"<div class=""red"" style=""text-align:left;""><h6 style=""text-align:left;"">Please re-check if the patient is eligible for this study before continuing</h6></div>",,,,,,,[age]<18,,,,,,
education,sociodemographic_information,,text,"<p>How many years of education did the patient complete?</p> ",,"<br>Write 99 if unknown.</br><br>As a guide to answer this question:</p> <ul> <li>7 years: primary school</li> <li>6 years: secondary school</li> <li>Also add years of TAFE or university</li> </ul>",integer,0,99,,,,,,,,
sex,sociodemographic_information,,radio,"What is the patient's biological sex (sex at birth)?","1, Male | 2, Female | 3, Intersex | 8, Other {sex_other} | 9, Unknown","<br>Where sex is defined as the distinction between male, female, or the combination of male and female biological characteristics. </br><br>To be captured as written in the medical record.</br><br>Self-identified sex may be reported in the case of conflict.</br>",,,,,,,,,,,
sex_other,sociodemographic_information,,text,"If other, please specify",,,,,,,[sex]='8',,,,,,
lang_primary,sociodemographic_information,"Language use",descriptive,"<div class=""rich-text-field-label""><p>What is the language (including sign language) most frequently<em> used for communication</em>?</p> <table style=""border-collapse: collapse; width: 79.3494%; height: 48px;"" border=""1""> <tbody> <tr style=""height: 24px;""> <td style=""width: 15.1515%; border-style: hidden; height: 24px;"">Spoken</td> <td style=""width: 84.8485%; border-style: hidden; height: 24px;"">{lang_primary_spoken}</td> </tr> <tr style=""height: 24px;""> <td style=""width: 15.1515%; border-style: hidden; height: 24px;"">Written</td> <td style=""width: 84.8485%; border-style: hidden; height: 24px;"">{lang_primary_written}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
lang_primary_spoken,sociodemographic_information,,text,"<div class=""rich-text-field-label""><p>Spoken</p></div>",,,,,,,,,,,,,
lang_primary_written,sociodemographic_information,,text,"<div class=""rich-text-field-label""><p>Written</p></div>",,,,,,,,,,,,,
lang_treatment,sociodemographic_information,,descriptive,"<div class=""rich-text-field-label""><p>What is the language used by the patient<em> during treatment and testing</em>?</p> <table style=""border-collapse: collapse; width: 79.3494%; height: 48px;"" border=""1""> <tbody> <tr style=""height: 24px;""> <td style=""width: 15.1515%; border-style: hidden; height: 24px;"">Spoken</td> <td style=""width: 84.8485%; border-style: hidden; height: 24px;"">{lang_treatment_spoken}</td> </tr> <tr style=""height: 24px;""> <td style=""width: 15.1515%; border-style: hidden; height: 24px;"">Written</td> <td style=""width: 84.8485%; border-style: hidden; height: 24px;"">{lang_treatment_written}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
lang_treatment_spoken,sociodemographic_information,,text,"<div class=""rich-text-field-label""><p>Spoken</p></div>",,,,,,,,,,,,,
lang_treatment_written,sociodemographic_information,,text,"<div class=""rich-text-field-label""><p>Written</p></div>",,,,,,,,,,,,,
lang_multi,sociodemographic_information,,radio,"<div class=""rich-text-field-label""><p>Does the patient use more than one language on a regular basis?</p></div>","1, Yes | 2, No | 9, Unknown",,,,,,,,,,,,
lang_multi_spec,sociodemographic_information,,descriptive,"<div class=""rich-text-field-label""><p>If yes, please specify all languages:</p> <table style=""border-collapse: collapse; width: 79.3494%; height: 34px;"" border=""1""> <tbody> <tr style=""height: 24px;""> <td style=""width: 15.1515%; border-style: hidden; height: 24px;"">Spoken</td> <td style=""width: 84.8485%; border-style: hidden; height: 24px;"">{lang_multi_spoken}</td> </tr> <tr style=""height: 10px;""> <td style=""width: 15.1515%; border-style: hidden; height: 10px;"">Written</td> <td style=""width: 84.8485%; border-style: hidden; height: 10px;"">{lang_multi_written}</td> </tr> </tbody> </table> <p> </p></div>",,,,,,,[lang_multi]='1',,,,,,
lang_multi_spoken,sociodemographic_information,,text,"<div class=""rich-text-field-label""><p>Spoken</p></div>",,,,,,,,,,,,,
lang_multi_written,sociodemographic_information,,text,"<div class=""rich-text-field-label""><p>Written</p></div>",,,,,,,,,,,,,
history_stroke,sociodemographic_information,"<div class=""rich-text-field-label""><p>Neurological history</p></div>",radio,"Does the patient have a history of stroke prior to the most recent episode (excluding TIA)?","1, Yes | 2, No | 9, Unknown",,,,,,,,,,,,
history_stroke_present,sociodemographic_information,,text,"How long ago was the previous stroke? (months)",,"If more than one previous stroke, time since most recent stroke. <br> Enter 9999 if unknown </br>",integer,0,9999,,[history_stroke]='1',,,,,,
history_comm,sociodemographic_information,,radio,"Does the patient have a history of an acquired or developmental condition known to impact communication or cognition?","1, Yes | 2, No | 9, Unknown","Conditions included here must have been present prior to most recent neurological event. ",,,,,,,,,,,
history_comm_condition,sociodemographic_information,,notes,"<div class=""rich-text-field-label""><p>Please describe the condition/s<br /><br /><span style=""font-weight: normal;"">Examples include:</span></p> <ul> <li><span style=""font-weight: normal;"">Developmental language disorder or delay</span></li> <li><span style=""font-weight: normal;"">Developmental articulation disorder</span></li> <li><span style=""font-weight: normal;"">Childhood Apraxia of Speech</span></li> <li><span style=""font-weight: normal;"">Childhood stuttering</span></li> <li><span style=""font-weight: normal;"">Encephalitis</span></li> <li><span style=""font-weight: normal;"">Autism Spectrum Disorder</span></li> <li><span style=""font-weight: normal;"">Hearing loss</span></li> <li><span style=""font-weight: normal;"">Multiple Sclerosis</span></li> <li><span style=""font-weight: normal;"">Motor Neuron Disease</span></li> <li><span style=""font-weight: normal;"">Cerebral Palsy</span></li> <li><span style=""font-weight: normal;"">Parkinson's disease</span></li> <li><span style=""font-weight: normal;"">Huntington's disease</span></li> <li><span style=""font-weight: normal;"">Meningitis</span></li> <li><span style=""font-weight: normal;"">Traumatic Brain Injury</span></li> <li><span style=""font-weight: normal;"">Acquired motor speech disorder (e.g. apraxia, dysarthria)</span></li> <li><span style=""font-weight: normal;"">Neurogenic stuttering</span></li> <li><span style=""font-weight: normal;"">Brain tumour</span></li> <li><span style=""font-weight: normal;"">Dementia</span></li> </ul></div>",,"Examples include:<br><ul><li>Developmental language disorder or delay</li><li>Developmental articulation disorder</li><li>Childhood Apraxia of Speech</li><li>Childhood stuttering </li><li>Encephalitis </li><li>Autism Spectrum Disorder</li><li>Hearing loss </li><li>Multiple Sclerosis </li><li>Motor Neuron Disease </li><li>Cerebral Palsy </li><li>Parkinson's disease </li><li>Huntington's disease </li><li>Meningitis </li><li>Traumatic Brain Injury </li><li>Acquired motor speech disorder (e.g. apraxia, dysarthria) </li><li>Neurogenic stuttering </li><li>Brain tumour </li><li>Dementia</li></ul>",,,,,[history_comm]='1',,,,,,
stroke_hemisphere,sociodemographic_information,"Current stroke",radio,"Which hemisphere was affected by the current stroke?","1, Left | 2, Right | 3, Both | 9, Unknown",,,,,,,,,,,,
aphasia_onset,sociodemographic_information,,text,"When was the onset of patient's aphasia",,DD-MM-YYYY,date_dmy,,,,,,,,,," @HIDEBUTTON"
stroke_cond_arising,sociodemographic_information,,radio,"<div class=""rich-text-field-label""><p>Are there conditions present which have arisen from the most recent neurological event (i.e. post-stroke)?<br /><br /><span style=""font-weight: normal;"">Examples include:</span></p> <ul> <li><span style=""font-weight: normal;"">apraxia of speech</span></li> <li><span style=""font-weight: normal;"">non-verbal oral apraxia</span></li> <li><span style=""font-weight: normal;"">dysarthria</span></li> <li><span style=""font-weight: normal;"">hemiplegia</span></li> <li><span style=""font-weight: normal;"">hemiparesis</span></li> <li><span style=""font-weight: normal;"">cognitive impairment</span></li> <li><span style=""font-weight: normal;"">sensory impairment</span></li> <li><span style=""font-weight: normal;"">depression, anxiety, or mood disorder</span></li> </ul></div>","1, Yes | 2, No | 9, Unknown","Examples include: <ul><li>apraxia of speech</li><li>non-verbal oral apraxia</li><li>dysarthria</li><li>hemiplegia</li><li>hemiparesis</li><li>cognitive impairment</li><li>sensory impairment</li><li>depression, anxiety, or mood disorder</li></ul>",,,,,,,,,,,
stroke_cond_arising_spec,sociodemographic_information,,text,"Please specify",,,,,,,[stroke_cond_arising]='1',,,,,,
comm_partner,sociodemographic_information,,radio,"Does the patient have a communication partner?","1, Yes | 2, No | 9, Unknown",,,,,,,,,,,,
comm_partner_age,sociodemographic_information,,text,"What is the primary communication partner's age?",,"If unknown, write 99",integer,0,150,,[comm_partner]='1',,,,,,
comm_partner_sex,sociodemographic_information,,radio,"What is the primary communication partner's biological sex (sex at birth)?","1, Male | 2, Female | 3, Intersex | 8, Other {comm_partner_sexoth} | 9, Unknown","Where sex is defined as the distinction between male, female, or the combination of male and female biological characteristics. </b>",,,,,[comm_partner]='1',,,,,,
comm_partner_sexoth,sociodemographic_information,,text,"If other, please specify",,,,,,,[comm_partner_sex]='8',,,,,,
comm_partner_rel,sociodemographic_information,,radio,"What is the primary relationship of the communication partner to the patient?","1, Spouse/partner | 2, Son/daughter/child-in-law | 3, Sibling | 4, Other relative* | 5, Friend/associate | 6, Professional carer**","<br>*Other Relative is a person who is related to the patient but not represented by the available selections. This could include a grandparent, step-parent, or foster-parent. </b><br>**Professional Carers are people who are trained and paid to look after people</br>",,,,,[comm_partner]='1',,,,,,
measures_poci_header,quality_indicators,"Quality Indicators",descriptive,"These data can be completed in any order, at any time during admission. <p>",,,,,,,,,,,,,
data_entry_id_poci,quality_indicators,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
ax,quality_indicators,Assessment,radio,"<div class=""rich-text-field-label""><h5><span style=""font-weight: normal; background-color: #fbeeb8;"">Quality Indicator 1:</span></h5> <p>Was a screener and/or assessment completed to determine if communication impairment (including aphasia) is present?</p></div>","1, Yes | 2, No | 9, Unknown | 99, Screening offered and declined",,,,,,,,,,,,
ax_history,quality_indicators,,descriptive,"<p><em>Quality Indicator 1 completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][ax]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][ax]</span></em></p>",,,,,,,,,,,,,
ax_date,quality_indicators,,text,"Date completed",,DD-MM-YYYY,date_dmy,,,,[ax]='1',,,,,," @HIDEBUTTON"
ax_screen,quality_indicators,,checkbox,"What screener/assessment was used?","1, The Western Aphasia Battery (WAB) / Western Aphasia Battery Revised (WAB-R) | 2, ALA Aphasia Language Assessment Test (ALA) | 3, Boston Diagnostic Aphasia Examination (BDAE) | 4, Brisbane Evidence Based Language Test (EBLT) | 5, Bilingual Aphasia Test (BAT) | 6, Communication Activities of Daily Living (CADL) | 7, Comprehensive Aphasia Test (CAT) | 8, Cognitive Linguistic Quick Test | 9, Inpatient Functional Communication interview (IFCI) | 10, Mount Wilga High Level Language Screening Test | 11, Mini-mental state examination (MMSE) | 12, Montreal Cognitive Assessment following Acquired Brain Injury (MoCA) | 13, Psycholinguistic assessments of language processing in aphasia (PALPA) | 14, Quick Aphasia Battery (QAB) | 15, Stroke Aphasic Depression Questionnaire (SADQ) | 16, Stroke and Aphasia Quality of Life Scale (SAQOL-39) | 17, The Boston Naming Test (BNT) | 18, AusMAST | 19, Bedside Western Aphasia Battery Revised (Bedside WAB-R) | 20, Frenchay Aphasia Screening Test (FAST) | 21, Language Screening Test (LAST) | 22, Sheffield Screening Test for Acquired Language Disorders (SST) | 23, The Mississippi Aphasia Screening Test (MAST) | 24, Informal / bespoke screening assessment | 25, Other {ax_screen_oth}","Select all that apply",,,,,[ax]='1',,,,,,
ax_screen_oth,quality_indicators,,text,"If other, please specify",,,,,,,[ax_screen(25)]='1',,,,,,
ax_health_prof,quality_indicators,,checkbox,"Who completed the screener/assessment?","1, Speech Pathologist | 2, Nursing | 3, Medical | 4, Occupational Therapist | 5, Allied Health Assistant | 8, Other {ax_health_prof2}","Select all that apply",,,,,[ax]='1',,,,,,
ax_health_prof2,quality_indicators,,text,"If other, please specify",,,,,,,[ax_health_prof(8)]='1',,,,,,
ax_nc,quality_indicators,,checkbox,"Reason not completed?","1, Patient factors | 2, Service factors | 3, Previously completed","Select all that apply",,,,,[ax]='2',,,,,," @NONEOFTHEABOVE='3'"
ax_nc_ptfact,quality_indicators,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {ax_nc_ptfact2}","Select all that apply",,,,,[ax_nc(1)]='1',,,,,,
ax_nc_ptfact2,quality_indicators,,text,"If other, please specify",,,,,,,[ax_nc_ptfact(8)]='1',,,,,,
ax_nc_svfact,quality_indicators,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {ax_nc_svfact2}","Select all that apply",,,,,[ax_nc(2)]='1',,,,,,
ax_nc_svfact2,quality_indicators,,text,"If other, please specify",,,,,,,[ax_nc_svfact(8)]='1',,,,,,
ax_aphasia_sev,quality_indicators,,radio,"<div class=""rich-text-field-label""><h5><span style=""background-color: #fbeeb8;"">Quality Indicator 2:</span></h5> <p>Was an assessment conducted to determine the severity of aphasia?</p></div>","1, Yes | 2, No | 9, Unknown | 99, Assessment offered and declined",,,,,,,,,,,,
ax_aphasia_sev_history,quality_indicators,,descriptive,"<p><em>Quality Indicator 2 completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][ax_aphasia_sev]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][ax_aphasia_sev]</span></em></p>",,,,,,,,,,,,,
ax_aphasia_sev_date,quality_indicators,,text,"Date completed",,DD-MM-YYYY,date_dmy,,,,[ax_aphasia_sev]='1',,,,,," @HIDEBUTTON"
ax_aphasia_sev_sp,quality_indicators,,radio,"Was the assessment completed by a speech pathologist?","1, Yes | 2, No",,,,,,[ax_aphasia_sev]='1',,,,,,
ax_aphasia_sev_tool,quality_indicators,,checkbox,"What assessment was used?","1, The Western Aphasia Battery (WAB) / Western Aphasia Battery Revised (WAB-R) | 2, ALA Aphasia Language Assessment Test (ALA) | 3, Boston Diagnostic Aphasia Examination (BDAE) | 4, Brisbane Evidence Based Language Test (EBLT) | 5, Bilingual Aphasia Test (BAT) | 6, Communication Activities of Daily Living (CADL) | 7, Comprehensive Aphasia Test (CAT) | 8, Cognitive Linguistic Quick Test | 9, Inpatient Functional Communication interview (IFCI) | 10, Mount Wilga High Level Language Screening Test | 11, Mini-mental state examination (MMSE) | 12, Montreal Cognitive Assessment following Acquired Brain Injury (MoCA) | 13, Psycholinguistic assessments of language processing in aphasia (PALPA) | 14, Quick Aphasia Battery (QAB) | 15, Stroke Aphasic Depression Questionnaire (SADQ) | 16, Stroke and Aphasia Quality of Life Scale (SAQOL-39) | 17, The Boston Naming Test (BNT) | 18, Other {ax_aphasia_sev_tooloth}","Select all that apply",,,,,[ax_aphasia_sev]='1',,,,,,
ax_aphasia_sev_tooloth,quality_indicators,,text,"If other, please specify",,,,,,,[ax_aphasia_sev_tool(18)]='1',,,,,,
ax_aphasia_sev_score,quality_indicators,,dropdown,"What was the severity of aphasia?","Mild |Mild-moderate | Moderate | Moderate-severe | Severe",,,,,,[ax_aphasia_sev]='1',,,,,,
ax_aphasia_sev_nc,quality_indicators,,checkbox,"Reason not completed?","1, Patient factors | 2, Service factors | 3, Previously completed","Select all that apply",,,,,[ax_aphasia_sev]='2',,,,,," @NONEOFTHEABOVE='4'"
ax_aphasia_sev_nc_ptfact,quality_indicators,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {ax_aphasia_sev_nc_ptfact2}","Select all that apply",,,,,[ax_aphasia_sev_nc(1)]='1',,,,,,
ax_aphasia_sev_nc_ptfact2,quality_indicators,,text,"If other, please specify",,,,,,,[ax_aphasia_sev_nc_ptfact(8)]='1',,,,,,
ax_aphasia_sev_nc_svfact,quality_indicators,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {ax_aphasia_sev_nc_svfact2}","Select all that apply",,,,,[ax_aphasia_sev_nc(2)]='1',,,,,,
ax_aphasia_sev_nc_svfact2,quality_indicators,,text,"If other, please specify",,,,,,,[ax_aphasia_sev_nc_svfact(8)]='1',,,,,,
info_prov,quality_indicators,"Information and Education",radio,"<div class=""rich-text-field-label""><h5><span style=""background-color: #fbeeb8;"">Quality Indicator 3:</span></h5> <p><span style=""color: #000000;"">Was information about aphasia provided to the patient?</span></p></div>","1, Yes | 2, No | 9, Unknown | 99, Information offered and declined",,,,,,,,,,,,
info_prov_history,quality_indicators,,descriptive,"<p><em>Quality Indicator 3 completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][info_prov]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][info_prov]</span></em></p>",,,,,,,,,,,,,
info_prov_date,quality_indicators,,text,"Date completed",,DD-MM-YYYY,date_dmy,,,,[info_prov]='1',,,,,," @HIDEBUTTON"
info_prov_format,quality_indicators,,radio,"Was the information in an ""aphasia friendly"" format?","1, Yes | 2, No | 9, Unknown",,,,,,[info_prov]='1',,,,,,
info_prov_written,quality_indicators,,radio,"Was written information provided? ","1, Yes | 2, No | 9, Unknown",,,,,,[info_prov]='1',,,,,,
info_prov_audio,quality_indicators,,radio,"Was information provided in an audio or spoken format?","1, Yes | 2, No | 9, Unknown",,,,,,[info_prov]='1',,,,,,
info_prov_impact,quality_indicators,,radio,"Was information provided about the impact of aphasia?","1, Yes | 2, No | 9, Unknown",,,,,,[info_prov]='1',,,,,,
info_prov_treat,quality_indicators,,radio,"Was information provided about treatment options?","1, Yes | 2, No | 9, Unknown",,,,,,[info_prov]='1',,,,,,
info_prov_nc,quality_indicators,,checkbox,"Reason not completed?","1, Patient factors | 2, Service factors | 3, Previously completed","Select all that apply",,,,,[info_prov]='2',,,,,," @NONEOFTHEABOVE='3'"
info_prov_nc_ptfact,quality_indicators,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {info_prov_nc_ptfact2}","Select all that apply",,,,,[info_prov_nc(1)]='1',,,,,,
info_prov_nc_ptfact2,quality_indicators,,text,"If other, please specify",,,,,,,[info_prov_nc_ptfact(8)]='1',,,,,,
info_prov_nc_svfact,quality_indicators,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {info_prov_nc_svfact2}","Select all that apply",,,,,[info_prov_nc(2)]='1',,,,,,
info_prov_nc_svfact2,quality_indicators,,text,"If other, please specify",,,,,,,[info_prov_nc_svfact(8)]='1',,,,,,
info_sigoth,quality_indicators,"Carer Education and Support",radio,"<div class=""rich-text-field-label""><h5><span style=""background-color: #fbeeb8;"">Quality Indicator 4:</span></h5> <p>Was information about aphasia provided to the significant others of the patient?</p></div>","1, Yes | 2, No | 9, Unknown | 98, Information offered and declined | 99, Not applicable - no significant other",,,,,,,,,,,,
info_sigoth_history,quality_indicators,,descriptive,"<p><em>Quality Indicator 4 completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][info_sigoth]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][info_sigoth]</span></em></p>",,,,,,,,,,,,,
info_sigoth_date,quality_indicators,,text,"Date completed",,DD-MM-YYYY,date_dmy,,,,[info_sigoth]='1',,,,,," @HIDEBUTTON"
info_sigoth_written,quality_indicators,,radio,"Was written information provided? ","1, Yes | 2, No | 9, Unknown",,,,,,[info_sigoth]='1',,,,,,
info_sigoth_written2,quality_indicators,,text,"What information was provided?",,,,,,,[info_sigoth_written]='1',,,,,,
info_sigoth_nc,quality_indicators,,checkbox,"Reason not completed?","1, Patient factors | 2, Service factors | 3, Previously completed","Select all that apply",,,,,[info_sigoth]='2',,,,,," @NONEOFTHEABOVE='3'"
info_sigoth_nc_ptfact,quality_indicators,,checkbox,"Which patient/significant other factors influenced non-completion?","1, Significant other not alert | 2, Significant other offered and declined | 3, Significant other unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {info_sigoth_nc_ptfact2}","Select all that apply",,,,,[info_sigoth_nc(1)]='1',,,,,,
info_sigoth_nc_ptfact2,quality_indicators,,text,"If other, please specify",,,,,,,[info_sigoth_nc_ptfact(8)]='1',,,,,,
info_sigoth_nc_svfact,quality_indicators,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {info_sigoth_nc_svfact2}","Select all that apply",,,,,[info_sigoth_nc(2)]='1',,,,,,
info_sigoth_nc_svfact2,quality_indicators,,text,"If other, please specify",,,,,,,[info_sigoth_nc_svfact(8)]='1',,,,,,
supp_sigoth,quality_indicators,,radio,"<div class=""rich-text-field-label""><h5><span style=""background-color: #fbeeb8;"">Quality Indicator 5:</span></h5> <p>Was information about accessing support provided to the significant others of the patient?</p></div>","1, Yes | 2, No | 9, Unknown | 98, Information offered and declined | 99, Not applicable - no significant other",,,,,,,,,,,,
supp_sigoth_history,quality_indicators,,descriptive,"<p><em>Quality Indicator 5 completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][supp_sigoth]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][supp_sigoth]</span></em></p>",,,,,,,,,,,,,
supp_sigoth_date,quality_indicators,,text,"Date completed",,DD-MM-YYYY,date_dmy,,,,[supp_sigoth]='1',,,,,," @HIDEBUTTON"
supp_sigoth_nc,quality_indicators,,checkbox,"Reason not completed?","1, Patient factors | 2, Service factors | 3, Previously completed","Select all that apply",,,,,[supp_sigoth]='2',,,,,," @NONEOFTHEABOVE='3'"
supp_sigoth_nc_ptfact,quality_indicators,,checkbox,"Which patient/significant other factors influenced non-completion?","1, Significant other not alert | 2, Significant other offered and declined | 3, Significant other unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {supp_sigoth_nc_ptfact2}","Select all that apply",,,,,[supp_sigoth_nc(1)]='1',,,,,,
supp_sigoth_nc_ptfact2,quality_indicators,,text,"If other, please specify",,,,,,,[supp_sigoth_nc_ptfact(8)]='1',,,,,,
supp_sigoth_nc_svfact,quality_indicators,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {supp_sigoth_nc_svfact2}","Select all that apply",,,,,[supp_sigoth_nc(2)]='1',,,,,,
supp_sigoth_nc_svfact2,quality_indicators,,text,"If other, please specify",,,,,,,[supp_sigoth_nc_svfact(8)]='1',,,,,,
